date,trade_date,stock_code,broker_name,broker_id,buy_vol,sell_vol,net_vol,pct,rank,side,full_date
8/25,2026-08-25,0061,元大-板橋,0039003800390043,1,0,1,1.35,11,buy,2026-08-25
8/25,2026-08-25,0061,第一金,5380,1,0,1,1.35,12,buy,2026-08-25
8/25,2026-08-25,0061,台新,0039004200300030,0,0,0,0.0,13,buy,2026-08-25
8/25,2026-08-25,0061,凱基,9200,0,0,0,0.0,14,buy,2026-08-25
8/25,2026-08-25,0061,群益金鼎,9100,0,0,0,0.0,15,buy,2026-08-25
8/25,2026-08-25,1101,台灣摩根士丹利,1470,6758,2799,3959,14.95,1,buy,2026-08-25
8/25,2026-08-25,1101,美商高盛,1480,849,4963,-4114,15.54,1,sell,2026-08-25
8/25,2026-08-25,1101,凱基-台北,9268,2925,803,2122,8.01,2,buy,2026-08-25
8/25,2026-08-25,1101,新加坡商瑞銀,1650,205,2498,-2293,8.66,2,sell,2026-08-25
8/25,2026-08-25,1101,元大-淡水,9899,1011,0,1011,3.82,3,buy,2026-08-25
8/25,2026-08-25,1101,元大證券,9800,816,2228,-1412,5.33,3,sell,2026-08-25
8/25,2026-08-25,1101,台新-信義,0039004200320048,1031,400,631,2.38,4,buy,2026-08-25
8/25,2026-08-25,1101,花旗環球,1590,2303,3549,-1246,4.71,4,sell,2026-08-25
8/25,2026-08-25,1101,中國信託,6160,404,65,339,1.28,5,buy,2026-08-25
8/25,2026-08-25,1101,台新-九如,0039004200320031,9,614,-605,2.28,5,sell,2026-08-25
8/25,2026-08-25,1101,元大-博愛,0039003800320042,323,12,311,1.17,6,buy,2026-08-25
8/25,2026-08-25,1101,摩根大通,8440,517,1032,-515,1.95,6,sell,2026-08-25
8/25,2026-08-25,1101,臺銀,1040,188,3,185,0.7,7,buy,2026-08-25
8/25,2026-08-25,1101,合庫證券,1020,43,508,-465,1.76,7,sell,2026-08-25
8/25,2026-08-25,1101,元大-南京,9862,155,9,146,0.55,8,buy,2026-08-25
8/25,2026-08-25,1101,統一,5850,13,327,-314,1.19,8,sell,2026-08-25
8/25,2026-08-25,1101,群益金鼎-桃園,9189,113,0,113,0.43,9,buy,2026-08-25
8/25,2026-08-25,1101,新光,8560,1136,1442,-306,1.16,9,sell,2026-08-25
8/25,2026-08-25,1101,元大-草屯,0039003800390045,105,4,101,0.38,10,buy,2026-08-25
8/25,2026-08-25,1101,宏遠-館前,0031003200360055,0,230,-230,0.87,10,sell,2026-08-25
8/25,2026-08-25,1101,永豐金-台中,003900410039004c,96,0,96,0.36,11,buy,2026-08-25
8/25,2026-08-25,1101,台新-基隆,0039004200320053,11,160,-149,0.56,11,sell,2026-08-25
8/25,2026-08-25,1101,第一金-路竹,0035003300380050,102,8,94,0.36,12,buy,2026-08-25
8/25,2026-08-25,1101,香港上海匯豐,8960,50,195,-145,0.55,12,sell,2026-08-25
8/25,2026-08-25,1101,永全-南崁,6451,80,0,80,0.3,13,buy,2026-08-25
8/25,2026-08-25,1101,元大-信義安和,0039003800300052,0,142,-142,0.54,13,sell,2026-08-25
8/25,2026-08-25,1101,台新-高雄,0039004200310067,77,1,76,0.29,14,buy,2026-08-25
8/25,2026-08-25,1101,新光-高雄,8562,11,119,-108,0.41,14,sell,2026-08-25
8/25,2026-08-25,1101,元大-彰化民生,003900380039004a,122,46,76,0.29,15,buy,2026-08-25
8/25,2026-08-25,1101,聯邦-興中,8587,2,100,-98,0.37,15,sell,2026-08-25
8/25,2026-08-25,1102,美商高盛,1480,1566,319,1247,14.0,1,buy,2026-08-25
8/25,2026-08-25,1102,統一,5850,7,805,-798,8.96,1,sell,2026-08-25
8/25,2026-08-25,1102,台灣摩根士丹利,1470,1072,44,1028,11.55,2,buy,2026-08-25
8/25,2026-08-25,1102,第一金,5380,0,584,-584,6.56,2,sell,2026-08-25
8/25,2026-08-25,1102,元大-旗山,003900380031006e,805,0,805,9.04,3,buy,2026-08-25
